Collected,Name,Type,Slot,Size,Mass,Rating,Category,Integrity,No Repairs,Coverage,Special Trait,Life,Energy Upkeep,Matter Upkeep,Heat Generation,Energy Generation,Energy Storage,Power Stability,Time/Move,Mod/Extra,Drag,Energy/Move,Heat/Move,Support,Penalty,Burnout,Special,Range,Shot Energy,Shot Matter,Shot Heat,Recoil,Targeting,Delay,Overload Stability,Waypoints,Arc,Wide,Projectile Count,Damage Min,Damage Max,Damage Type,Critical,Penetration,Heat Transfer,Spectrum,Disruption,Salvage,Explosion Radius,Explosion Arc,Explosion Damage Min,Explosion Damage Max,Falloff,Chunks,Explosion Type,Explosion Heat Transfer,Explosion Spectrum,Explosion Disruption,Explosion Salvage,Effect,Description,Hackable Schematic,Fabrication Number,Fabrication Time,Fabrication Components,Studyable,Supporter Attribution
"2718631","Matter","Matter","N/A","1","","1","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Used to fuse components, and is consumed by ballistic weapons, which convert it to the appropriate type of ammunition.","","","","","","tcsgamer",
"484","Data Core","Data Core","N/A","1","","1","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Contains a unique dynamic key that can be used to improve the chances of hacking its associated terminal, if used before its renewal time expires (40 turns).","","","","","","syf",
"2501","Derelict Log","Data Core","N/A","1","","1","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Contains intel data collected by derelicts.","","","","","","",
"1353","Schematic Archive","Data Core","N/A","1","","1","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Contains a part or robot schematic.","","","","","","",
"9","Imprinter Data Core","Data Core","N/A","1","","1","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Contents unknown.","","","","","","",
"1","CL-0N3 Data Core","Data Core","N/A","1","","1","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Contents unknown.","","","","","","",
"35","A2 Data Core","Data Core","N/A","1","","1","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Contents unknown.","","","","","","",
"41","A7 Data Core","Data Core","N/A","1","","1","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Contents unknown.","","","","","","",
"75","MAIN.C Data Core","Data Core","N/A","1","","1","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Contents unknown.","","","","","","",
"68","Architect Data Core","Data Core","N/A","1","","1","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Contents unknown.","","","","","","","",
"4961","Scrap","Scrap","N/A","1","","1","","50","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","A collection of debris and components that may or may not contain something useful.","","","","","","",
"53","Protomatter","Protomatter","N/A","1","","1","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Used to restore integrity of core then attached parts at a rate of 1 protomatter per 3 integrity. Wait while standing on protomatter to automatically apply up to 8 of it per turn.","","","","","","",
"592","Ion Engine","Engine","Power","1","5","1","","60","","60","","","","","5","5","150","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","20","48","8","1-2","Thermal","High (50)","","","-4","","If triggered by chain reaction or rigged proximity response, explodes for 20-48 thermal damage with a radius of 2 (falloff: 8; chunks: 1-2; salvage: -4). High heat transfer.","1","2","51/25/17","","1","Warmist",
"388","Lgt. Ion Engine","Engine","Power","1","3","1","","40","","60","","","","","5","5","25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","20","48","8","1-2","Thermal","High (50)","","","-4","","If triggered by chain reaction or rigged proximity response, explodes for 20-48 thermal damage with a radius of 2 (falloff: 8; chunks: 1-2; salvage: -4). High heat transfer.","1","2","51/25/17","","1","",
"10","Backup Power I","Engine","Power","1","1","1","","25","1","40","","","","","3","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","20","48","8","1-2","Thermal","High (50)","","","-4","","If triggered by chain reaction or rigged proximity response, explodes for 20-48 thermal damage with a radius of 2 (falloff: 8; chunks: 1-2; salvage: -4). High heat transfer.","","","","","","Luke Miller",
"358","Imp. Ion Engine","Engine","Power","1","7","2","","70","","60","","","","","6","7","165","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","25","57","8","1-2","Thermal","High (50)","","","-5","","If triggered by chain reaction or rigged proximity response, explodes for 25-57 thermal damage with a radius of 2 (falloff: 8; chunks: 1-2; salvage: -5). High heat transfer.","1","2","62/31/20","","1","Julius Love",
"23","Rnf. Ion Engine","Engine","Power","1","10","2","","140","","60","","","","","9","7","165","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","25","57","8","1-2","Thermal","High (50)","","","-5","","If triggered by chain reaction or rigged proximity response, explodes for 25-57 thermal damage with a radius of 2 (falloff: 8; chunks: 1-2; salvage: -5). High heat transfer.","1","2","62/31/20","","1","",
"183","Hvy. Ion Engine","Engine","Power","1","8","2","Prototype","110","","60","","","","","6","9","180","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","25","57","8","1-2","Thermal","High (50)","","","-5","","If triggered by chain reaction or rigged proximity response, explodes for 25-57 thermal damage with a radius of 2 (falloff: 8; chunks: 1-2; salvage: -5). High heat transfer.","1","1","99/49/33","","","BLANK",
"131","Cld. Ion Engine","Engine","Power","1","8","2","Prototype","110","","60","","","","","3","9","180","99%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","25","57","8","1-2","Thermal","High (50)","","","-5","","If triggered by chain reaction or rigged proximity response, explodes for 25-57 thermal damage with a radius of 2 (falloff: 8; chunks: 1-2; salvage: -5). High heat transfer.","1","1","99/49/33","","","",
"37","Sub. Power Source","Engine","Power","1","5","2","","50","","30","","","","","5","10","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","36","74","11","1-2","Thermal","High (50)","","","-6","","If triggered by chain reaction or rigged proximity response, explodes for 36-74 thermal damage with a radius of 2 (falloff: 11; chunks: 1-2; salvage: -6). High heat transfer.","","2","62/31/20","","","",
"84","Deuterium Engine","Engine","Power","1","9","3","","75","","60","","","","","6","9","175","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","30","66","10","1-2","Thermal","High (50)","","","-5","","If triggered by chain reaction or rigged proximity response, explodes for 30-66 thermal damage with a radius of 2 (falloff: 10; chunks: 1-2; salvage: -5). High heat transfer.","1","2","73/36/24","","1","SummitSummit",
"94","Lgt. Deuterium Engine","Engine","Power","1","5","3","","50","","60","","","","","6","9","40","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","30","66","10","1-2","Thermal","High (50)","","","-5","","If triggered by chain reaction or rigged proximity response, explodes for 30-66 thermal damage with a radius of 2 (falloff: 10; chunks: 1-2; salvage: -5). High heat transfer.","1","2","73/36/24","","1","Gaspard",
"39","Backup Power III","Engine","Power","1","2","3","","30","1","40","","","","","4","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","30","66","10","1-2","Thermal","High (50)","","","-5","","If triggered by chain reaction or rigged proximity response, explodes for 30-66 thermal damage with a radius of 2 (falloff: 10; chunks: 1-2; salvage: -5). High heat transfer.","","","","","","",
"102","Nuclear Core","Power Core","Power","1","7","3","","75","","60","","","","","7","9","140","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","30","66","10","1-2","Thermal","High (50)","","","-5","","If triggered by chain reaction or rigged proximity response, explodes for 30-66 thermal damage with a radius of 2 (falloff: 10; chunks: 1-2; salvage: -5). High heat transfer.","1","2","73/36/24","","1","Naberius",
"438","Lgt. Nuclear Core","Power Core","Power","1","5","3","","50","","60","","","","","7","9","60","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","30","66","10","1-2","Thermal","High (50)","","","-5","","If triggered by chain reaction or rigged proximity response, explodes for 30-66 thermal damage with a radius of 2 (falloff: 10; chunks: 1-2; salvage: -5). High heat transfer.","1","2","73/36/24","","1","Macked",
"199","Imp. Deuterium Engine","Engine","Power","1","10","4","","80","","60","","","","","7","11","190","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","36","74","11","1-2","Thermal","High (50)","","","-6","","If triggered by chain reaction or rigged proximity response, explodes for 36-74 thermal damage with a radius of 2 (falloff: 11; chunks: 1-2; salvage: -6). High heat transfer.","1","2","84/42/28","","1","Matsor Browncoat",
"48","Rnf. Deuterium Engine","Engine","Power","1","15","4","","160","","60","","","","","10","11","190","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","36","74","11","1-2","Thermal","High (50)","","","-6","","If triggered by chain reaction or rigged proximity response, explodes for 36-74 thermal damage with a radius of 2 (falloff: 11; chunks: 1-2; salvage: -6). High heat transfer.","1","2","84/42/28","","1","",
"2","Hyb. Deuterium Engine","Engine","Power","1","7","4","","60","","15","","","","","3","5","700","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","25","57","8","1-2","Thermal","High (50)","","","-5","","If triggered by chain reaction or rigged proximity response, explodes for 25-57 thermal damage with a radius of 2 (falloff: 8; chunks: 1-2; salvage: -5). High heat transfer.","1","2","84/42/28","","1","",
"44","Hvy. Deuterium Engine","Engine","Power","1","11","4","Prototype","120","","60","","","","","7","13","210","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","36","74","11","1-2","Thermal","High (50)","","","-6","","If triggered by chain reaction or rigged proximity response, explodes for 36-74 thermal damage with a radius of 2 (falloff: 11; chunks: 1-2; salvage: -6). High heat transfer.","1","1","134/67/44","","","Frisky",
"10","Cld. Deuterium Engine","Engine","Power","1","11","4","Prototype","120","","60","","","","","3","13","210","99%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","36","74","11","1-2","Thermal","High (50)","","","-6","","If triggered by chain reaction or rigged proximity response, explodes for 36-74 thermal damage with a radius of 2 (falloff: 11; chunks: 1-2; salvage: -6). High heat transfer.","1","1","134/67/44","","","",
"55","Enh. Nuclear Core","Power Core","Power","1","8","4","Prototype","120","","60","","","","","8","12","200","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","36","74","11","1-2","Thermal","High (50)","","","-6","","If triggered by chain reaction or rigged proximity response, explodes for 36-74 thermal damage with a radius of 2 (falloff: 11; chunks: 1-2; salvage: -6). High heat transfer.","1","1","134/67/44","","","",
"177","Mic. Nuclear Core","Power Core","Power","1","6","4","","50","","30","","","","","7","10","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","36","74","11","1-2","Thermal","High (50)","","","-6","","If triggered by chain reaction or rigged proximity response, explodes for 36-74 thermal damage with a radius of 2 (falloff: 11; chunks: 1-2; salvage: -6). High heat transfer.","1","2","84/42/28","","1","Momoi Power",
"54","Mak. Power Source","Engine","Power","1","4","4","","50","","50","","","","","10","10","70","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","36","74","11","1-2","Thermal","High (50)","","","-6","","If triggered by chain reaction or rigged proximity response, explodes for 36-74 thermal damage with a radius of 2 (falloff: 11; chunks: 1-2; salvage: -6). High heat transfer.","","2","84/42/28","","","",
"36","Angular Momentum Engine","Engine","Power","1","13","5","","90","","60","","","","","8","13","200","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","41","83","12","1-2","Thermal","High (50)","","","-6","","If triggered by chain reaction or rigged proximity response, explodes for 41-83 thermal damage with a radius of 2 (falloff: 12; chunks: 1-2; salvage: -6). High heat transfer.","1","2","95/47/31","","1","dr0x",
"138","Lgt. Angular Momentum Engine","Engine","Power","1","9","5","","60","","60","","","","","7","13","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","41","83","12","1-2","Thermal","High (50)","","","-6","","If triggered by chain reaction or rigged proximity response, explodes for 41-83 thermal damage with a radius of 2 (falloff: 12; chunks: 1-2; salvage: -6). High heat transfer.","1","2","95/47/31","","1","remludar",
"32","F-cell Engine","Engine","Power","1","12","5","Prototype","135","","60","","","","","7","14","400","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","41","83","12","1-2","Thermal","High (50)","","","-6","","If triggered by chain reaction or rigged proximity response, explodes for 41-83 thermal damage with a radius of 2 (falloff: 12; chunks: 1-2; salvage: -6). High heat transfer.","1","1","152/76/50","","","Babyhide Briefcase",
"63","Fission Core","Power Core","Power","1","10","5","","90","","60","","","","","8","13","210","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","41","83","12","1-2","Thermal","High (50)","","","-6","","If triggered by chain reaction or rigged proximity response, explodes for 41-83 thermal damage with a radius of 2 (falloff: 12; chunks: 1-2; salvage: -6). High heat transfer.","1","2","95/47/31","","1","Dylan McNamee",
"170","Lgt. Fission Core","Power Core","Power","1","7","5","","60","","60","","","","","8","13","60","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","41","83","12","1-2","Thermal","High (50)","","","-6","","If triggered by chain reaction or rigged proximity response, explodes for 41-83 thermal damage with a radius of 2 (falloff: 12; chunks: 1-2; salvage: -6). High heat transfer.","1","2","95/47/31","","1","A_Generic_Carrot",
"2","Hyb. Fission Core","Power Core","Power","1","8","5","","60","","15","","","","","4","6","800","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","30","66","10","1-2","Thermal","High (50)","","","-5","","If triggered by chain reaction or rigged proximity response, explodes for 30-66 thermal damage with a radius of 2 (falloff: 10; chunks: 1-2; salvage: -5). High heat transfer.","1","2","95/47/31","","1","",
"49","Fusion Compressor","Power Core","Power","1","5","5","","80","","50","","","","1","15","20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2","95/47/31","","1","skymaker",
"58","Cold Fusion Reactor","Reactor","Power","1","12","5","Prototype","150","","60","","","","","","12","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","41","83","12","1-2","Thermal","High (50)","","","-6","","If triggered by chain reaction or rigged proximity response, explodes for 41-83 thermal damage with a radius of 2 (falloff: 12; chunks: 1-2; salvage: -6). High heat transfer.","1","1","152/76/50","","","Gabriel Frigeri",
"95","Neutrino Core","Power Core","Power","1","14","6","","95","","60","","","","","8","14","215","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","24","40","3","1","Electromagnetic","","Wide (10)","2","3","","If triggered by chain reaction or rigged proximity response, explodes for 24-40 electromagnetic damage with a radius of 2 (falloff: 3; chunks: 1; salvage: 3; disruption: 2%). Wide spectrum.","1","2","106/53/35","","1","Penumbrz",
"50","Lgt. Neutrino Core","Power Core","Power","1","8","6","Prototype","80","","50","","","","","8","14","70","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","24","40","3","1","Electromagnetic","","Wide (10)","2","3","","If triggered by chain reaction or rigged proximity response, explodes for 24-40 electromagnetic damage with a radius of 2 (falloff: 3; chunks: 1; salvage: 3; disruption: 2%). Wide spectrum.","1","1","169/84/56","","","M-SquareC",
"65","Rnf. Fission Core","Power Core","Power","1","21","6","","250","","60","","","","","12","14","210","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","46","92","13","1-2","Thermal","High (50)","","","-7","","If triggered by chain reaction or rigged proximity response, explodes for 46-92 thermal damage with a radius of 2 (falloff: 13; chunks: 1-2; salvage: -7). High heat transfer.","1","2","106/53/35","","1","",
"13","Enh. Fission Core","Power Core","Power","1","13","6","Prototype","150","","60","","","","","8","16","250","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","46","92","13","1-2","Thermal","High (50)","","","-7","","If triggered by chain reaction or rigged proximity response, explodes for 46-92 thermal damage with a radius of 2 (falloff: 13; chunks: 1-2; salvage: -7). High heat transfer.","1","1","169/84/56","","","Connary",
"7","Cld. Fission Core","Power Core","Power","1","14","6","Prototype","150","","60","","","","","4","16","250","99%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","46","92","13","1-2","Thermal","High (50)","","","-7","","If triggered by chain reaction or rigged proximity response, explodes for 46-92 thermal damage with a radius of 2 (falloff: 13; chunks: 1-2; salvage: -7). High heat transfer.","1","1","169/84/56","","","",
"320","Mic. Fission Core","Power Core","Power","1","5","6","","60","","30","","","","","8","10","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","46","92","13","1-2","Thermal","High (50)","","","-7","","If triggered by chain reaction or rigged proximity response, explodes for 46-92 thermal damage with a radius of 2 (falloff: 13; chunks: 1-2; salvage: -7). High heat transfer.","1","2","106/53/35","","1","Koron",
