Type,Category,Name/Number,Content
"Record","0b10","2210","In 2210 the ISCS Cetus received several ISC messages sent from the Solar System in 2198, warning that the Solar System was under attack by an alien race known as the Sigix. The ISC advised that all outbound ships continue beyond their intended destination to avoid pursuit and preserve the Human species. After a brief stop at Tau Ceti IV to deploy Project Seraph, the Cetus left for an unknown destination."
"Record","0b10","Access Level","The highest subsurface floor of Complex 0b10, heavily garrisoned in preparation for a possible Sigix attack."
"Record","0b10","Alpha Centauri System","A triple star system located 1.34 parsecs from the Sun, making it the closest star system to the Solar System. Destination of the ISCS Centaurus."
"Record","0b10","Arc Thrower","This newer weapon has only been recovered once, attached to a mutant Derelict, and is surprisingly effective for Derelict Weaponry. It is similar to the arc projector, but fires multiple weaker arcs for a chance to quickly shut down more than one target system. Interestingly, arc throwers do not show signs of usual Derelict construction, thus their origin is still a mystery."
"Record","0b10","Archives","A decommissioned network hub formerly connected to Complex 0b1. It is now linked to the Cetus Mainframe and used as a backup."
"Record","0b10","Authchip","Early Fabricator systems were more openly accessible, but rampant abuse by Derelict intruders made it necessary to introduce an authorization system to limit unauthorized use of resources. An authchip is now required to load schematics and initiate build orders, and the chips have been divided by schematic category to further limit the potential for abuse."
"Record","0b10","Battle Rifle","A prime example of Derelict Weaponry, the common Battle Rifle and its heavy variant have greater damage potential than other ballistic weapons of their class, but at the same time suffer from inconsistent application of force at the point of impact, leading to less effective results under some conditions. Nonetheless, quite a few Derelicts rely on it as a primary or secondary weapon."
"Record","0b10","Beamcaster","The Beamcaster appears to be a significantly modified heavy laser, but with capabilities more comparable to the common plasma rifle. Its beam retains its full strength even at up to 50% greater distance than most similar energy weapons, and is one of the most reliable of the known Derelict component designs."
"Record","0b10","Blade Trap","A simple trap mechanism, though the effectiveness of forcibly detaching target components is not to be underestimated where hostile forces are incapable of rebuilding in the field."
"Record","0b10","Brute Force Hacks","Like Trojans, increased use of this new class of offensive hack represents a shift in Derelict tactics. They have begun learning how to exploit system weaknesses to achieve some greater effect at the cost of destroying the system itself and losing any chance at further interaction. Some like Force(Overload) might prompt a complete redesign of the Fabricator system, as it was certainly never intended to be capable of such a dangerous effect. There is some satisfaction, however, in knowing that whatever Derelict uses that particular hack never makes it more than a few meters away from the machine."
"Record","0b10","Cargo Convoy","Escorted A-27 Freighters are now responsible for delivering newer prototypes to DSF locations throughout Complex 0b10. As these prototypes are valuable for their higher rating and fact that they have been tested and confirmed non-faulty, they are often distributed through the Garrison network for added security."
"Record","0b10","Caves","Approximately 15% of the subsurface cave systems surrounding Complex 0b1 were incorporated into the initial construction of Complex 0b10, but many more remain untouched. These caves are occupied by Derelict robots. Recent activity suggests there could be more substantial populations deeper in the caves."
"Record","0b10","Centrium","A protective alloy surprisingly light for its durability, mostly due to a perfectly arranged network of sparse particles that fluctuates to distribute both physical and immaterial force across its entire surface both quickly and evenly. Its properties seem tuned to be the perfect protection in space, and indeed the Leopard hull is mostly constructed of this material. I've also created a somewhat hardened variant that performs better in the presence of gravity."
