Name,Class,Tier,Threat,Rating,Value,Size Class,Size,Profile,Memory,Spot %,Movement,Speed,Speed %,Sight Range,Energy Generation,Heat Dissipation,Core Integrity,Core Exposure,Core Exposure %,Salvage Potential,Accuracy,Melee Accuracy,Inventory Capacity,Hacking Availability,Hacking Difficulty,Power Slots,Propulsion Slots,Utility Slots,Weapon Slots,Kinetic,Thermal,Explosive,Electromagnetic,Impact,Slashing,Piercing,Immunities,Traits,Fabrication Count,Fabrication Time,Armament,Components,Analysis
"Drone","Drone","1","2","7","","Tiny","1","SQ3X3","50","","Hovering","56","178","18","10","12","10","171","50","5~15","60","70","","MANUAL","","1","2","1","","","","-25%","-100%","","","","Hacking","","","","","Lgt. Ion Engine, 2x Hover Unit, Visual Processing Unit","",
"Target Drone","Drone","1","2","9","","Tiny","1","SQ3X3","50","","Hovering","60","166","16","10","12","12","175","50","5~10","60","70","","MANUAL","","1","1","1","","","","-25%","-100%","","","","Hacking","","","","","Lgt. Ion Engine, Airjet, Reaction Control System","",
"Mini Drone","Drone","1","2","6","","Tiny","1","SQ3X3","50","","Flying","40","250","20","10","12","8","91","50","5~10","60","70","","MANUAL","","1","1","1","","","","-25%","-100%","","","","Hacking","","","","","Lgt. Ion Engine, Flight Unit, Adv. Visual Processing Unit","",
"Mapping Drone","Drone","1","2","14","","Tiny","1","SQ3X3","50","","Flying","40","250","16","10","12","8","106","50","5~10","60","70","","MANUAL","","1","1","2","","","","-25%","-100%","","","","Hacking","","","","","Lgt. Ion Engine, Flight Unit, Mak. Terrain Scanner, Mak. Terrain Scan Processor","",
"Sensor Drone","Drone","1","2","24","","Tiny","1","SQ3X3","50","","Flying","55","181","16","10","12","20","41","29","5~10","60","70","","MANUAL","","1","1","2","","","","-25%","-100%","","","","Hacking","","","","","Lgt. Ion Engine, Mak. Flight Unit, Mak. Sensor Array, Exp. Signal Interpreter","",
"Hacking Drone","Drone","1","2","28","","Tiny","1","SQ3X3","50","","Flying","55","181","16","15","15","40","50","39","5~10","60","70","","MANUAL","","1","1","3","","","","-25%","-100%","","","","Hacking","","","","","Mak. Power Source, Mak. Flight Unit, 2x Mak. Hacking Suite, Mak. System Shield","",
"Minesniffer Drone","Drone","1","2","33","","Tiny","1","SQ3X3","50","","Rolling","100","100","16","15","12","50","102","40","5~10","60","70","1","MANUAL","","1","2","2","1","","","-25%","-100%","","","","Hacking","","","","Adv. Datajack","Mak. Power Source, 2x Com. Wheel, Mak. Trap Scanner, Imp. Trap Extractor","",
"Decoy Drone","Drone","1","2","34","","Tiny","1","SQ3X3","50","","Flying","20","500","16","15","12","30","60","40","5~10","60","70","","MANUAL","","1","4","","","","","-25%","-100%","","","","Hacking","","","","","Mak. Power Source, 4x Mak. Microthruster","",
"Splice Drone","Drone","1","2","44","","Tiny","1","SQ3X3","50","","Flying","20","500","16","15","12","30","70","40","5~10","60","70","","MANUAL","","1","5","","1","","","-25%","-100%","","","","Hacking","","","","Splice Injector","Mak. Power Source, 5x Mak. Microthruster","",
"Master Drone","Drone","1","2","53","","Tiny","1","SQ3X3","50","","Flying","20","500","16","15","12","40","102","29","5~10","60","70","","MANUAL","","1","5","1","1","","","-25%","-100%","","","","Hacking","","","","Master Link","Mak. Power Source, 5x Mak. Microthruster, Mak. Cloaking Device","",
"Advanced Drone","Drone","1","2","49","","Tiny","1","SQ3X3","50","","Flying","42","238","22","31","31","50","187","39","10~20","60","70","","MANUAL","","2","2","3","","","","-25%","-100%","","","","Hacking","","","","","2x Lgt. Fission Core, 2x Field Propulsion Drive, Adv. Heat Sink, Enh. Optical Array, Imp. Phase Shifter","",
"Stealth Drone","Drone","1","2","69","","Tiny","1","SQ3X3","50","","Flying","37","270","23","43","38","50","180","39","10~20","60","70","","MANUAL","","2","2","4","","","","-25%","-100%","","","","Hacking","","","","","2x Lgt. Neutrino Core, 2x Cld. Field Propulsion Drive, Exp. Heat Sink, Exp. Optical Array, Imp. Cloaking Device, Imp. Phase Shifter","",
"Trailblazer","Drone","1","2","17","","Tiny","1","SQ3X3","50","","Flying","3","3333","23","50","5","8","6","50","5~10","60","70","","MANUAL","","","1","1","","","","-25%","-100%","","","","Hacking","","","","","T-thruster, Exp. Optical Array","",
