"Name","Page Type","Content","Spoiler","Bots","Part Category","Parts","Groups","Supergroups","Subpages"
"01-MTF","Bot","[[Image]]MTF Vault.png|Running into MTF in a [[Storage]] vault[[/Image]]A friendly bot that rarely shows up in [[Storage]] in an already opened vault. Will join Cogmind as an uncontrollable purple ally for the duration of the map and uses [[01-MTF's Autohacker]] to automatically open any other vaults it can see. It will assimilate or destroy most enemies it encounters extremely quickly with its high spectrum high damage EM gun [[01-MTF's Shockpuncher]]. The Shockpuncher is a very powerful weapon that is strong throughout the majority of the game as long as you can deal with its short range if you can get it to drop. [[Spoiler]]Presumably stole exiles prototypes.[[/Spoiler]]","","","","","","",""
"01-MTF's Autohacker","Part","","","","","","","",""
"01-MTF's Shockpuncher","Part","","","","","","","",""
"0b10","Other","This is the main complex. Cogmind starts from the bottom [[Scrapyard]] level at depth -11. Every level have stairs to an upper level until level -1 where the surface [[Access]] can be found. The levels can also contain other doorways which lead to different branches that eventually connect to the main complex. Read more about all levels at [[Locations]].

[[Heading]]Lore[[/Heading]]
[[Lore]]0b10 Records|Complex 0b10[[/Lore]]
Entrances to new levels are implied to be long uneventful corridors where Cogmind loses all pursuers.
0b10 means 2 (0b - binary representation, 10 - 2 in decimal). [[Spoiler]]This means Complex 0b10 is the second complex, 0b1 presumably being first.[[/Spoiler]]","","","","","","",""
"0b10 Alert Chip","Part","Analyzes ambient [[0b10]] signals to guess the alert level. The best part of this item is the reduction of influence by 20%. This item is obtainable from the exiles.","","","","","","",""
"0b10 Bots","Bot Supergroup","0b10 Bots are a large [[Bot Groups|Bot Group]] of bots that are found in nearly all maps in the game, and are particularly numerous in [[0b10|Complex 0b10]]. There are a large variety of [[0b10 Combat Bots|combat]] and [[0b10 Non-combat Bots|non-combat]] bots.","","","","","","0b10 Combat Bots,0b10 Non-combat Bots",""
"0b10 Combat Bots","Bot Supergroup","0b10 Combat Bots are a large [[Bot Groups|Bot Group]] of bots that make up the fighting force of [[0b10|Complex 0b10]]. They are most commonly found [[Patrol Squad|patrolling]] or [[Security Squad|guarding]] areas within 0b10.","","Alpha 7,AP7-3,Autobeam Turret,C-40 Crusher,Cetus Guard,Decapitator,E-15 Imp,EXE-6,Executioner,Fortress,Hotshot,Immortal,MAIN.C,MAIN.C (Shell),Overlord,Q-Series,SKR-2,Striker,Superfortress,V-Series","","","Behemoth,Brawler,Cutter,Demolisher,Duelist,Grunt,Hauler,Heavy,Hunter,Programmer,Protovariant,Sentry,Specialist,Swarmer,Unchained","",""
"0b10 Decoder Chip [Generic]","Part","","","","","","","",""
"0b10 Decoder Chip [Looter]","Part","","","","","","","",""
"0b10 Decoder Chip [Scout]","Part","","","","","","","",""
"0b10 Decoder Chip [Skirmisher]","Part","","","","","","","",""
"0b10 Decoder Chips","Part Group","[[Heading]]List of 0b10 Decoder Chips[[/Heading]]
[[PartGroupTable]]
0b10 Decoder Chips|
Overview/Size|
Overview/Rating|
Overview/Integrity|
Overview/Coverage|
Effect/Effect
[[/PartGroupTable]]","","","","0b10 Decoder Chip [Generic],0b10 Decoder Chip [Looter],0b10 Decoder Chip [Scout],0b10 Decoder Chip [Skirmisher]","","",""
"0b10 Non-combat Bots","Bot Supergroup","","","K-01 Serf,N-00 Fly,N-01 Spotter,N-04 Retriever,T-07 Excavator,U-05 Engineer","","","Carrier,Hauler,Mechanic,Minesweeper,Operator,Protector,Recycler,Researcher,Watcher","",""
"0bPrime Scrap Suit","Part","","","","","","","",""
"12-ASH","Bot","[[GameText]]Hail to the king![[/GameText]]
12-ASH is a member of the [[Heroes of Zion]] equipped with [[12-ASH's Boomstick]] and [[Ripper]].","","","","","","",""
"12-ASH's Boomstick","Part","","","","","","","",""
"1C-UTU","Bot","","","","","","","",""
"1C-UTU's Buckler","Part","","","","","","","",""
"1C-UTU's Sword ""Choppy""","Part","","","","","","","",""
"1C-UTU's Sword ""Lootmaker""","Part","","","","","","","",""
"2N-1CE's Frost Array","Part","","","","","","","",""
"5H-AD0","Bot","","","","","","","",""
"5H-AD0's Cloak","Part","","","","","","","",""
"5H-AD0's Sniper Rifle","Part","","","","","","","",""
"6S-H0T","Bot","6S-H0T is a part of the deadly group of [[Unchained]] [[Derelict|Derelicts]] that work for [[0b10]] to track down threats to the complex. Its signature weapon, [[6S-H0T's Six Shooter]], is a powerful perfectly accurate gun with a high blast critical chance. With a [[Exp. Reaction Control System]], [[Exp. Propulsion Shielding|Exp. Propulsion]] and [[Exp. Weapon Shielding|Weapon Shieldings]], and an incredibly low 15% core exposure, 6S-H0T is no defensive slouch either. Trying to pin this Unchained down is a tall order.

[[Heading]]Lore[[/Heading]]
[[Lore]]Cyclists Records|UC/6S-H0T[[/Lore]]

[[Heading:2]][[FarCom]] Lore[[/Heading]]
If Cogmind has aligned with the [[Exiles (Group)|Exiles]] and has FarCom, the following message will be broadcast about 6S-H0T:
[[GameText]]At least this one runs out of ammo quickly, but they're also really aggressive and if you're caught in range they are going to tear you to pieces. Maybe just be dodgy?[[/GameText]]

[[Heading]]Behavior[[/Heading]]
6S-H0T is a hit-and-run type of Unchained that only engages in short bursts of combat. Its gun is only able to fire with the use of [[6S-H0T's SS Cartridge|6S-H0T's SS Cartridges]], which 6S-H0T carries 5 of. After showing up on the map, it will chase Cogmind down, burn through all 5 Cartridges, then head for the nearest [[Garrison Access]] to restock. A few hundred turns later, it will pop out, fully repaired, ready to shoot again with another 5 Cartridges.
[[Heading]]Strategy[[/Heading]]
6 projectiles at 25% Blast crit each is a terrifying prospect. Fighting 6S-H0T without a [[Graphene Brace]] is likely to lead to many parts on Cogmind's body being blasted off and onto the ground. 2 or more slot parts can mitigate this to some degree, though it's still quite likely to get multiple parts blasted off.
Thanks to the Six Shooter's high targeting bonus, evasion utilities are unhelpful against 6S-H0T. Instead, focus on reducing damage through other parts. Kinetic damage resistance via [[Resistance Devices]] or [[Resistance Armor]] work well, particularly when combined with [[Hardlight Generators]]. [[Shield Generators]] and [[Force Fields]] are always useful, though they may require some [[Energy Wells]] to support the fast drain considering the high immediate damage.
As with all Unchained, allies are extremely helpful when fighting 6S-H0T, both as damage dealers and as distractions to take some fire off of you. In a pinch, even a basic [[Drone Bay]] can be useful as a distraction. If 6S-H0T spots the [[Drone|Drones]] before Cogmind, it will shoot them first. A single bay can potentially waste 2 out of the 5 volleys, with each Drone most likely dying in a single volley.
6S-H0T doesn't have any particular defensive weaknesses, though it does sport a slightly annoying 25% kinetic and very high 90% EM damage resistance. Because of this, Thermal is the best conventional damage type, although most forms of damage work reasonably well against this bot. [[Explosive Launchers]] may kill all chance of salvage, but they are a good choice at quickly dealing a lot of damage in a short period of time, even while missing the otherwise evasive 6S-H0T. If not using Launchers, [[Core Analyzers]] are incredibly valuable thanks to its extremely low base core coverage.","","","","","","",""
"6S-H0T's SS Cartridge","Part","","","","","","","",""
"6S-H0T's Six Shooter","Part","","","","","","","",""
"7R-MNS","Bot","","","","","","","",""
"7V-RTL","Bot","","","","","","","",""
"7V-RTL's Ultimate Field","Part","","","","","","","",""
"8R-AWN","Bot","","","","","","","",""
"8R-AWN's Armor/EX","Part","","","","","","","",""
"8R-AWN's Armor/TH","Part","","","","","","","",""
"8R-AWN's Boregun","Part","","","","","","","",""
"99-TNT","Bot","","","","","","","",""
"99-TNT's Nukerbomber","Part","","","","","","","",""
"A Bots","Bot Group","A bots are a [[Bot Groups|Bot Group]] of [[Hover Units|hovering]] [[Programmer]]-like bots that are aligned to the [[Architect]]. A few are friendly to Cogmind, but the majority of them are hostile and can only be encountered at their home base in [[Access_0]]. They have a variety of different offensive and defensive armament and boast some powerful unique parts. They are all formidable opponents in combat.","Redacted","A2,A3,A4,A5,A6,A7,A8","","","","",""
"A-02 Transporter","Bot","","","","","","","",""
"A-15 Conveyor","Bot","","","","","","","",""
"A-27 Freighter","Bot","Informally known as a yauler (yellow Hauler). In the main complex, appears as part of a [[Cargo Convoy]].","","","","","","",""
"A0-MCA's Component Scanner","Part","","","","","","","",""
"A2","Bot","","","","","","","",""
"A2 Data Core","Part","","","","","","","",""
"A3","Bot","","","","","","","",""
"A3's Sniper Rifle","Part","","","","","","","",""
"A4","Bot","","","","","","","",""
"A5","Bot","","","","","","","",""
"A6","Bot","","","","","","","",""
"A7","Bot","Drops the [[A7 Data Core]] when killed. Gives a code when shown the Cetus Mainframe in [[Cetus]].","","","","","","",""
"A7 Data Core","Part","Allows entrance into [[Lab]] and [[Redacted]]reveals the hidden intruder-detecting lasers.[[/Redacted]]

Dropped by [[A7]] on death.","","","","","","",""
"A8","Bot","","","","","","","",""
"AD-0RF","Bot","","","","","","","",""
"AD-0RF's Magmablaster","Part","","","","","","","",""
"AEGIS Remote Shield","Part","","","","","","","",""
"AP7-3","Bot","","","","","","","",""
"AS-neutralizer No. 17b","Part","","","","","","","",""
"AWS/Autocannon","Part","","","","","","","",""
"AWS/EX-DEC","Part","","","","","","","",""
"AWS/Gauss","Part","","","","","","","",""
"AWS/Thermal","Part","If the AWS/Thermal is repaired with a [[Recalibrators|Recalibrator]], it will break down in fewer shots than it did the first time. After several repairs, it will consistently break down within a few shots of being repaired.","","","","","","",""
"AZ-K3N","Bot","","","","","","","",""
